departure_city,arrival_city,company_name,flight_sale_type,flight_capacity,fare_class_code,ticket_price_T,year,month,day,dep_flight_time,duration_sec
Tehran,Zahedan,Mahan,Scheduled,2,Y,1681000,1402,5,17,night,9840
Tehran,Al_Najaf,Varesh,Charter,2,Y,2947600,1402,5,18,mid_night,8760
Tehran,Al_Najaf,Varesh,Charter,2,Y,2783928,1402,5,18,mid_night,7440
Tehran,Istanbul,ATA,Charter,3,Y,8500000,1402,5,18,mid_night,12480
Mashhad,Baghdad,Taban,Charter,7,Y,2879925,1402,5,18,mid_night,10920
Mashhad,Baghdad,Taban,Charter,7,Y,3000000,1402,5,18,mid_night,11340
Mashhad,Al_Najaf,ATA,Charter,7,Y,4100000,1402,5,18,mid_night,10980
Tehran,Istanbul,Mahan,Scheduled,5,C,22659600,1402,5,18,morning,12480
Mashhad,Al_Najaf,Taban,Charter,5,C,5000000,1402,5,18,morning,10800
Mashhad,Al_Najaf,ATA,Charter,8,Y,3233600,1402,5,18,morning,10260
Kish_Island,Shiraz,Kish,Charter,6,RP,993550,1402,5,18,morning,5880
Kish_Island,Shiraz,Kish,Scheduled,9,RF,962770,1402,5,18,morning,6240
Kish_Island,Shiraz,Kish,Charter,5,RS,932880,1402,5,18,morning,6120
Kish_Island,Shiraz,Kish,Scheduled,5,RY,905046,1402,5,18,morning,6120
Kish_Island,Shiraz,Kish,Charter,2,RB,879070,1402,5,18,morning,6420
Kish_Island,Shiraz,Kish,Charter,2,RB,876400,1402,5,18,morning,6240
Kish_Island,Shiraz,Kish,Charter,5,RY,902700,1402,5,18,morning,6480
Kish_Island,Shiraz,Kish,Charter,5,RS,930900,1402,5,18,morning,6780
Tehran,Dubai,Qeshm,Scheduled,3,J,13828900,1402,5,18,morning,9900
Tehran,Dubai,Qeshm,Charter,3,J,13385540,1402,5,18,morning,10020
Tehran,Dubai,Qeshm,Scheduled,2,C,11921400,1402,5,18,morning,9600
Tehran,Dubai,Qeshm,Charter,2,C,11543340,1402,5,18,morning,10260
Tehran,Dubai,Qeshm,Scheduled,5,Y,9516700,1402,5,18,morning,9900
Tehran,Dubai,Qeshm,Charter,5,Y,9221030,1402,5,18,morning,9900
Tehran,Dubai,Qeshm,Scheduled,5,B,8644700,1402,5,18,morning,9840
Tehran,Dubai,Qeshm,Charter,5,B,8378910,1402,5,18,morning,9240
Tehran,Dubai,Qeshm,Scheduled,5,H,7125400,1402,5,18,morning,9660
Tehran,Dubai,Qeshm,Charter,5,H,6911580,1402,5,18,morning,9600
Tehran,Dubai,Qeshm,Scheduled,9,K,6416900,1402,5,18,morning,9360
Tehran,Dubai,Qeshm,Charter,7,K,6227320,1402,5,18,morning,9840
Tehran,Dubai,Qeshm,Charter,5,L,5434443,1402,5,18,morning,10200
Tehran,Dubai,Qeshm,Charter,5,L,5715278,1402,5,18,morning,9300
Tehran,Dubai,Qeshm,Scheduled,5,L,5817400,1402,5,18,morning,9780
Mashhad,Ardabil,Aseman,Charter,2,Y,1424310,1402,5,18,morning,9300
Tehran,Istanbul,Mahan,Scheduled,9,C,22659600,1402,5,18,morning,13080
Tehran,Bandar_Abbas,ATA,Charter,9,Y,2107800,1402,5,18,morning,8520
Mashhad,Al_Najaf,Caspian,Charter,5,Y,4263600,1402,5,18,morning,10800
Mashhad,Al_Najaf,Caspian,Charter,5,Y,4285600,1402,5,18,morning,10680
Mashhad,Tehran,Mahan,Scheduled,2,Y,1314800,1402,5,18,morning,8580
Tehran,Istanbul,Qeshm,Charter,2,W,8500000,1402,5,18,morning,13740
Mashhad,Tehran,Mahan,Charter,5,E,1199477,1402,5,18,morning,8160
Tehran,Al_Najaf,Zagros,Charter,5,Y,3148800,1402,5,18,morning,8340
Tehran,Al_Najaf,Zagros,Charter,6,Y,3100000,1402,5,18,morning,7440
Tehran,Al_Najaf,Iranair,Scheduled,5,V,7219000,1402,5,18,morning,7800
Tehran,Al_Najaf,Iranair,Scheduled,5,M,5417500,1402,5,18,morning,8160
Tehran,Al_Najaf,Iranair,Scheduled,5,N,4817000,1402,5,18,morning,8340
Shiraz,Sharjah,Arabia,Charter,5,P,5301300,1402,5,18,morning,7380
Shiraz,Dubai,Dubai,Charter,5,Y,5958400,1402,5,18,morning,7080
Tehran,Al_Najaf,ATA,Charter,4,D,3125000,1402,5,18,morning,8040
Tehran,Al_Najaf,Taban,Charter,7,Y,2879925,1402,5,18,morning,8040
Tehran,Al_Najaf,Taban,Charter,7,Y,3000000,1402,5,18,morning,7440
Mashhad,Baghdad,Iraqi,Charter,7,Y,5691306,1402,5,18,afternoon,10740
Dubai,Tehran,Dubai,Charter,3,Y,8409900,1402,5,18,afternoon,9720
Dubai,Tehran,Dubai,Charter,3,Y,8431900,1402,5,18,afternoon,9720
Shiraz,Dubai,Qeshm,Charter,3,J,12839848,1402,5,18,afternoon,7920
Shiraz,Dubai,Qeshm,Charter,3,C,10997648,1402,5,18,afternoon,6780
Shiraz,Dubai,Qeshm,Charter,3,Z,9418648,1402,5,18,afternoon,6600
Shiraz,Dubai,Qeshm,Charter,2,L,5102608,1402,5,18,afternoon,6720
Kish_Island,Tehran,Kish,Charter,9,RB,1399895,1402,5,18,afternoon,9600
Kish_Island,Tehran,Kish,Charter,4,RH,1385990,1402,5,18,afternoon,9360
Yerevan,Tehran,Armenia,Charter,6,X,7850000,1402,5,18,afternoon,8160
Kish_Island,Tehran,Zagros,Scheduled,5,L,1587400,1402,5,18,afternoon,8520
Kish_Island,Tehran,Zagros,Scheduled,5,L,1548100,1402,5,18,afternoon,9360
Kish_Island,Tehran,Zagros,Charter,6,Y,1986900,1402,5,18,afternoon,9360
Tehran,Al_Najaf,Caspian,Charter,6,D,3200000,1402,5,18,afternoon,8340
Tehran,Dubai,Dubai,Charter,4,C,24174200,1402,5,18,afternoon,9900
Tehran,Dubai,Dubai,Charter,2,Y,6267400,1402,5,18,afternoon,10200
Tehran,Dubai,Dubai,Charter,2,Y,6080300,1402,5,18,afternoon,9300
Tehran,Dubai,Dubai,Charter,2,Y,6200000,1402,5,18,afternoon,9840
Tehran,Yerevan,Armenia,Charter,7,Q,6668000,1402,5,18,afternoon,8880
Tehran,Yerevan,Armenia,Charter,5,QQ,7021900,1402,5,18,afternoon,8940
Tehran,Yerevan,Armenia,Charter,5,XX,6574200,1402,5,18,afternoon,8220
Tehran,Yerevan,Armenia,Charter,5,X,6245400,1402,5,18,afternoon,8700
Tehran,Yerevan,Armenia,Charter,4,LL,6131600,1402,5,18,afternoon,8460
Tehran,Yerevan,Armenia,Charter,3,L,5822900,1402,5,18,afternoon,7320
Tehran,Yerevan,Armenia,Charter,3,L,5758200,1402,5,18,afternoon,7920
Tehran,Yerevan,Armenia,Charter,3,L,5818661,1402,5,18,afternoon,8400
Tehran,Yerevan,Armenia,Charter,5,X,6178200,1402,5,18,afternoon,7980
Tehran,Yerevan,Armenia,Charter,5,Q,6603200,1402,5,18,afternoon,7740
Tehran,Yerevan,Armenia,Charter,5,Y,6674079,1402,5,18,afternoon,7620
Tehran,Yerevan,Armenia,Charter,5,QQ,6950000,1402,5,18,afternoon,7800
Tehran,Yerevan,Armenia,Charter,2,N,7018200,1402,5,18,afternoon,8520
Tehran,Yerevan,Armenia,Charter,5,T,7438200,1402,5,18,afternoon,8160
Tehran,Yerevan,Armenia,Charter,5,R,7863200,1402,5,18,afternoon,8460
Tehran,Al_Najaf,Iranair,Scheduled,3,M,5417500,1402,5,18,afternoon,7500
Tehran,Al_Najaf,Iranair,Scheduled,3,V,7219000,1402,5,18,afternoon,8700
Dubai,Tehran,Qeshm,Scheduled,3,C,14458500,1402,5,18,afternoon,9900
Dubai,Tehran,Qeshm,Charter,3,C,13993660,1402,5,18,afternoon,9600
Dubai,Tehran,Qeshm,Scheduled,6,Z,12506900,1402,5,18,afternoon,10200
Dubai,Tehran,Qeshm,Charter,6,Z,12108820,1402,5,18,afternoon,9600
Dubai,Tehran,Qeshm,Scheduled,9,K,7888400,1402,5,18,afternoon,10500
Dubai,Tehran,Qeshm,Scheduled,9,L,7173200,1402,5,18,afternoon,9420
Dubai,Tehran,Qeshm,Charter,9,L,6957770,1402,5,18,afternoon,9840
Dubai,Tehran,Qeshm,Scheduled,9,M,6590700,1402,5,18,afternoon,9180
Dubai,Tehran,Qeshm,Charter,9,M,6188370,1402,5,18,afternoon,9480
Dubai,Tehran,Qeshm,Charter,9,K,7648460,1402,5,18,afternoon,9900
Tehran,Tbilisi,Zagros,Charter,5,Y,5279863,1402,5,18,afternoon,8400
Tehran,Tbilisi,Zagros,Charter,5,Y,5500000,1402,5,18,afternoon,8520
Tehran,Yerevan,Varesh,Charter,9,Y,3853000,1402,5,18,afternoon,8160
Tehran,Yerevan,Varesh,Charter,8,Y,4054200,1402,5,18,afternoon,7980
Tehran,Yerevan,Varesh,Charter,7,Y,3839900,1402,5,18,afternoon,8460
Tehran,Yerevan,Varesh,Charter,7,Y,3876000,1402,5,18,afternoon,7620
Tehran,Yerevan,Varesh,Charter,8,Y,4000000,1402,5,18,afternoon,8040
Gorgan,Tehran,Kish,Charter,5,RS,1073626,1402,5,18,afternoon,6180
Gorgan,Tehran,Kish,Charter,10,RF,1099900,1402,5,18,afternoon,6360
Gorgan,Tehran,Kish,Charter,5,C,1960000,1402,5,18,afternoon,6420
Tehran,Dubai,Mahan,Scheduled,1,C,15898600,1402,5,18,afternoon,9540
Tehran,Dubai,Mahan,Charter,1,Y,6931300,1402,5,18,afternoon,10140
Tehran,Dubai,Mahan,Charter,2,W,6895400,1402,5,18,afternoon,10020
Mashhad,Ahwaz,Zagros,Charter,5,Y,1706400,1402,5,18,afternoon,9120
Tehran,Ankara,Mahan,Charter,6,Y,6931300,1402,5,18,afternoon,11040
Tehran,Ankara,Mahan,Charter,4,W,6807500,1402,5,18,afternoon,11460
Al_Najaf,Tehran,Iranair,Scheduled,6,V,6872500,1402,5,18,afternoon,7920
Al_Najaf,Tehran,Iranair,Scheduled,6,M,5070000,1402,5,18,afternoon,8280
Al_Najaf,Tehran,Iranair,Scheduled,6,N,4469000,1402,5,18,afternoon,7740
Dubai,Bandar_Abbas,Dubai,Charter,6,Y,8078200,1402,5,18,evening,5880
Dubai,Bandar_Abbas,Dubai,Charter,6,Y,8000000,1402,5,18,evening,5760
Tehran,Istanbul,Iranair,Charter,5,Y,8743000,1402,5,18,evening,13320
Tehran,Istanbul,Iranair,Scheduled,9,RS,9921000,1402,5,18,evening,13020
Lefkoşa,Tehran,Freebird,Charter,2,Y,13690000,1402,5,18,evening,10500
Tehran,Istanbul,Qeshm,Charter,6,Y,7338000,1402,5,18,evening,13380
Tehran,Istanbul,Qeshm,Charter,6,W,8000000,1402,5,18,evening,12840
Shiraz,Muscat,Salam,Charter,5,Y,4300000,1402,5,18,evening,7860
Shiraz,Muscat,Salam,Charter,5,Y,4386000,1402,5,18,evening,8580
Shiraz,Muscat,Salam,Charter,5,Y,4650000,1402,5,18,evening,8700
Asaloyeh,Tehran,Aseman,Scheduled,1,Y,1530700,1402,5,18,evening,9240
Tehran,Istanbul,Mahan,Scheduled,4,Y,14161600,1402,5,18,evening,13500
Tehran,Istanbul,Mahan,Charter,4,Y,9200000,1402,5,18,evening,12660
Antalya,Tehran,MaviGok,Charter,6,Y,2990000,1402,5,18,evening,12660
Baghdad,Tehran,Meraj,Charter,7,Y,4300000,1402,5,18,evening,7920
Tehran,Muscat,Qeshm,Charter,3,W,6719825,1402,5,18,evening,11040
Tehran,Muscat,Qeshm,Charter,6,Y,6750000,1402,5,18,evening,10860
Tehran,Muscat,Qeshm,Charter,6,Y,8000000,1402,5,18,evening,11340
Bandar_Abbas,Dubai,Dubai,Charter,5,Y,6077147,1402,5,18,evening,5520
Bandar_Abbas,Dubai,Dubai,Charter,5,Y,6156280,1402,5,18,evening,6060
Bandar_Abbas,Dubai,Dubai,Charter,5,Y,6200000,1402,5,18,evening,5820
Yerevan,Tehran,Varesh,Charter,6,Y,6000000,1402,5,18,evening,8520
Yerevan,Tehran,Varesh,Charter,8,Y,6900000,1402,5,18,evening,7680
Isfahan,Al_Najaf,Aseman,Charter,9,Y,3898000,1402,5,18,evening,7320
Kish_Island,Tehran,Kish,Charter,9,RB,1443620,1402,5,18,evening,8820
Kish_Island,Tehran,Kish,Charter,5,RH,1385990,1402,5,18,evening,8640
