national_departure_code,departure_city,departure_airport,national_arrival_code,arrival_city,arrival_airport,orthodromic_distance_KM,flight_length_min,departure_date_YMD_format,local_departure_time,local_arrival_time,company_name,flight_number,fare_class_code,ticket_price_T,flight_sale_type,flight_capacity
THR,Tehran,Mehrabad,ZAH,Zahedan,Zahedan,1133,154.0,1402-05-17,22:00,23:55,Mahan,W5-1071,Y,1681000,Scheduled,
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,135.0,1402-05-18,05:00,06:30,Varesh,VRH-6813,Y,2947600,Charter,2.0
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,132.0,1402-05-18,05:00,07:12,Varesh,VRH-6813,Y,2783928,Charter,2.0
IKA,Tehran,Imam_Khomeini,IST,Istanbul,Istanbul,2053,216.0,1402-05-18,05:00,08:36,ATA,I3-6619,Y,8500000,Charter,3.0
MHD,Mashhad,Shahid_Hashemi_Nejad,BGW,Baghdad,Baghdad,1445,182.0,1402-05-18,05:00,08:02,Taban,TBN-7289,Y,2879925,Charter,7.0
MHD,Mashhad,Shahid_Hashemi_Nejad,BGW,Baghdad,Baghdad,1445,177.0,1402-05-18,05:00,07:57,Taban,TBN-7289,Y,3000000,Charter,7.0
MHD,Mashhad,Shahid_Hashemi_Nejad,NJF,Al_Najaf,Al_Ashraf,1478,175.0,1402-05-18,05:00,07:55,ATA,I3-6641,Y,4100000,Charter,7.0
IKA,Tehran,Imam_Khomeini,IST,Istanbul,Istanbul,2053,210.0,1402-05-18,06:00,09:25,Mahan,W5-112,C,22659600,Scheduled,
MHD,Mashhad,Shahid_Hashemi_Nejad,NJF,Al_Najaf,Al_Ashraf,1478,170.0,1402-05-18,06:00,08:50,Taban,TBN-7263,C,5000000,Charter,5.0
MHD,Mashhad,Shahid_Hashemi_Nejad,NJF,Al_Najaf,Al_Ashraf,1478,176.0,1402-05-18,06:30,09:26,ATA,I3-6647,Y,3233600,Charter,8.0
KIH,Kish_Island,Kish,SYZ,Shiraz,Shahid_Dastghaib,362,112.0,1402-05-18,07:00,07:45,Kish,Y9-7078,RP,993550,Unknown,6.0
KIH,Kish_Island,Kish,SYZ,Shiraz,Shahid_Dastghaib,362,103.0,1402-05-18,07:00,07:45,Kish,Y9-7078,RF,962770,Unknown,9.0
KIH,Kish_Island,Kish,SYZ,Shiraz,Shahid_Dastghaib,362,97.0,1402-05-18,07:00,07:45,Kish,Y9-7078,RS,932880,Unknown,5.0
KIH,Kish_Island,Kish,SYZ,Shiraz,Shahid_Dastghaib,362,108.0,1402-05-18,07:00,07:45,Kish,Y9-7078,RY,905046,Unknown,5.0
KIH,Kish_Island,Kish,SYZ,Shiraz,Shahid_Dastghaib,362,102.0,1402-05-18,07:00,07:45,Kish,Y9-7078,RB,879070,Unknown,2.0
KIH,Kish_Island,Kish,SYZ,Shiraz,Shahid_Dastghaib,362,107.0,1402-05-18,07:00,08:47,Kish,Y9-7078,RB,876400,Unknown,2.0
KIH,Kish_Island,Kish,SYZ,Shiraz,Shahid_Dastghaib,362,101.0,1402-05-18,07:00,08:41,Kish,Y9-7078,RY,902700,Unknown,5.0
KIH,Kish_Island,Kish,SYZ,Shiraz,Shahid_Dastghaib,362,106.0,1402-05-18,07:00,08:46,Kish,Y9-7078,RS,930900,Unknown,5.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,160.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,J,13828900,Scheduled,3.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,166.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,J,13385540,Charter,3.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,170.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,C,11921400,Scheduled,2.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,152.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,C,11543340,Charter,2.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,166.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,Y,9516700,Scheduled,5.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,170.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,Y,9221030,Charter,5.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,160.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,B,8644700,Scheduled,5.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,160.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,B,8378910,Charter,5.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,160.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,H,7125400,Scheduled,5.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,163.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,H,6911580,Charter,5.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,165.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,K,6416900,Scheduled,9.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,160.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,K,6227320,Charter,7.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,160.0,1402-05-18,07:15,09:55,Qeshm,QB-2210,L,5434443,Charter,5.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,168.0,1402-05-18,07:15,10:03,Qeshm,QB-2210,L,5715278,Charter,5.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,164.0,1402-05-18,07:15,09:59,Qeshm,QB-2210,L,5817400,Scheduled,5.0
MHD,Mashhad,Shahid_Hashemi_Nejad,ADU,Ardabil,Ardabil,1019,147.0,1402-05-18,07:50,09:35,Aseman,EP-3968,Y,1424310,Charter,2.0
IKA,Tehran,Imam_Khomeini,IST,Istanbul,Istanbul,2053,222.0,1402-05-18,07:50,11:15,Mahan,W5-116,C,22659600,Scheduled,
THR,Tehran,Mehrabad,BND,Bandar_Abbas,Bandar_Abbas,1057,150.0,1402-05-18,08:30,10:20,ATA,I3-5681,Y,2107800,Charter,9.0
MHD,Mashhad,Shahid_Hashemi_Nejad,NJF,Al_Najaf,Al_Ashraf,1478,182.0,1402-05-18,08:30,11:32,Caspian,RV-7906,Y,4263600,Charter,5.0
MHD,Mashhad,Shahid_Hashemi_Nejad,NJF,Al_Najaf,Al_Ashraf,1478,172.0,1402-05-18,08:30,11:22,Caspian,RV-7906,Y,4285600,Charter,5.0
MHD,Mashhad,Shahid_Hashemi_Nejad,THR,Tehran,Mehrabad,753,142.0,1402-05-18,08:45,10:20,Mahan,W5-1080,Y,1314800,Scheduled,
IKA,Tehran,Imam_Khomeini,IST,Istanbul,Istanbul,2053,216.0,1402-05-18,08:45,12:21,Qeshm,QB-2213,W,8500000,Charter,2.0
MHD,Mashhad,Shahid_Hashemi_Nejad,THR,Tehran,Mehrabad,753,139.0,1402-05-18,08:45,11:04,Mahan,W5-1080,E,1199477,Charter,
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,145.0,1402-05-18,10:00,11:30,Zagros,ZO-3099,Y,3148800,Charter,5.0
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,135.0,1402-05-18,10:00,12:15,Zagros,ZO-3099,Y,3100000,Charter,6.0
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,129.0,1402-05-18,10:00,12:09,Iranair,IR-5325,V,7219000,Scheduled,
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,133.0,1402-05-18,10:00,12:13,Iranair,IR-5325,M,5417500,Scheduled,
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,139.0,1402-05-18,10:00,12:19,Iranair,IR-5325,N,4817000,Scheduled,
SYZ,Shiraz,Shahid_Dastghaib,SHJ,Sharjah,Sharjah,552,115.0,1402-05-18,10:05,12:00,Arabia,G9-9214,P,5301300,Charter,
SYZ,Shiraz,Shahid_Dastghaib,DXB,Dubai,Dubai,550,107.0,1402-05-18,10:50,12:37,Dubai,FZ-242,Y,5958400,Charter,5.0
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,130.0,1402-05-18,11:00,13:10,ATA,I3-6643,D,3125000,Charter,4.0
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,142.0,1402-05-18,11:40,14:02,Taban,TBN-7257,Y,2879925,Charter,7.0
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,138.0,1402-05-18,11:40,13:58,Taban,TBN-7257,Y,3000000,Charter,7.0
MHD,Mashhad,Shahid_Hashemi_Nejad,BGW,Baghdad,Baghdad,1445,184.0,1402-05-18,12:00,15:04,Iraqi,IA-1162,Y,5691306,Charter,7.0
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,161.0,1402-05-18,12:30,15:11,Dubai,FZ-1927,Y,8409900,Charter,3.0
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,162.0,1402-05-18,12:30,15:12,Dubai,FZ-1927,Y,8431900,Charter,3.0
SYZ,Shiraz,Shahid_Dastghaib,DXB,Dubai,Dubai,550,124.0,1402-05-18,12:45,14:35,Qeshm,QB-2204,J,12839848,Charter,3.0
SYZ,Shiraz,Shahid_Dastghaib,DXB,Dubai,Dubai,550,118.0,1402-05-18,12:45,14:35,Qeshm,QB-2204,C,10997648,Charter,3.0
SYZ,Shiraz,Shahid_Dastghaib,DXB,Dubai,Dubai,550,112.0,1402-05-18,12:45,14:35,Qeshm,QB-2204,Z,9418648,Charter,3.0
SYZ,Shiraz,Shahid_Dastghaib,DXB,Dubai,Dubai,550,115.0,1402-05-18,12:45,14:35,Qeshm,QB-2204,L,5102608,Charter,2.0
KIH,Kish_Island,Kish,THR,Tehran,Mehrabad,1050,151.0,1402-05-18,13:30,15:15,Kish,Y9-7054,RB,1399895,Unknown,9.0
KIH,Kish_Island,Kish,THR,Tehran,Mehrabad,1050,146.0,1402-05-18,13:30,15:15,Kish,Y9-7054,RH,1385990,Unknown,4.0
EVN,Yerevan,Zvartnots,IKA,Tehran,Imam_Khomeini,792,131.0,1402-05-18,13:30,15:41,Armenia,6A-60221,X,7850000,Charter,6.0
KIH,Kish_Island,Kish,THR,Tehran,Mehrabad,1050,142.0,1402-05-18,14:00,16:00,Zagros,ZO-4050,L,1587400,Scheduled,5.0
KIH,Kish_Island,Kish,THR,Tehran,Mehrabad,1050,152.0,1402-05-18,14:00,16:00,Zagros,ZO-4050,L,1548100,Scheduled,5.0
KIH,Kish_Island,Kish,THR,Tehran,Mehrabad,1050,155.0,1402-05-18,14:00,16:00,Zagros,ZO-4050,Y,1986900,Charter,
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,130.0,1402-05-18,14:15,16:25,Caspian,RV-7940,D,3200000,Charter,6.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,170.0,1402-05-18,15:10,17:50,Dubai,FZ-1928,C,24174200,Charter,4.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,157.0,1402-05-18,15:10,17:50,Dubai,FZ-1928,Y,6267400,Charter,2.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,164.0,1402-05-18,15:10,17:50,Dubai,FZ-1928,Y,6080300,Charter,2.0
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,167.0,1402-05-18,15:10,17:57,Dubai,FZ-1928,Y,6200000,Charter,2.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,132.0,1402-05-18,15:30,17:30,Armenia,6A-222,Q,6668000,Charter,7.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,137.0,1402-05-18,15:30,17:30,Armenia,6A-222,QQ,7021900,Charter,5.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,141.0,1402-05-18,15:30,17:30,Armenia,6A-222,XX,6574200,Charter,5.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,144.0,1402-05-18,15:30,17:30,Armenia,6A-222,X,6245400,Charter,5.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,138.0,1402-05-18,15:30,17:30,Armenia,6A-222,LL,6131600,Charter,4.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,142.0,1402-05-18,15:30,17:30,Armenia,6A-60222,L,5822900,Charter,3.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,129.0,1402-05-18,15:30,17:39,Armenia,6A-60222,L,5758200,Charter,3.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,140.0,1402-05-18,15:30,17:50,Armenia,6A-60222,L,5818661,Charter,3.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,144.0,1402-05-18,15:30,17:54,Armenia,6A-222,X,6178200,Charter,5.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,132.0,1402-05-18,15:30,17:42,Armenia,6A-6222,Q,6603200,Charter,5.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,151.0,1402-05-18,15:30,18:01,Armenia,6A-6222,Y,6674079,Charter,5.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,131.0,1402-05-18,15:30,17:41,Armenia,6A-60222,QQ,6950000,Charter,5.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,133.0,1402-05-18,15:30,17:43,Armenia,6A-60222,N,7018200,Charter,2.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,134.0,1402-05-18,15:30,17:44,Armenia,6A-60222,T,7438200,Charter,5.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,136.0,1402-05-18,15:30,17:46,Armenia,6A-6222,R,7863200,Charter,5.0
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,132.0,1402-05-18,15:30,17:42,Iranair,IR-5319,M,5417500,Scheduled,
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,132.0,1402-05-18,15:30,17:42,Iranair,IR-5319,V,7219000,Scheduled,
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,172.0,1402-05-18,15:35,17:05,Qeshm,QB-2211,C,14458500,Scheduled,3.0
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,152.0,1402-05-18,15:35,17:05,Qeshm,QB-2211,C,13993660,Charter,3.0
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,169.0,1402-05-18,15:35,17:05,Qeshm,QB-2211,Z,12506900,Scheduled,6.0
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,157.0,1402-05-18,15:35,17:05,Qeshm,QB-2211,Z,12108820,Charter,6.0
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,157.0,1402-05-18,15:35,17:05,Qeshm,QB-2211,K,7888400,Scheduled,
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,150.0,1402-05-18,15:35,17:05,Qeshm,QB-2211,L,7173200,Scheduled,9.0
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,168.0,1402-05-18,15:35,17:05,Qeshm,QB-2211,L,6957770,Charter,9.0
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,154.0,1402-05-18,15:35,17:05,Qeshm,QB-2211,M,6590700,Scheduled,
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,172.0,1402-05-18,15:35,18:27,Qeshm,QB-2211,M,6188370,Charter,9.0
DXB,Dubai,Dubai,IKA,Tehran,Imam_Khomeini,1200,166.0,1402-05-18,15:35,18:21,Qeshm,QB-2211,K,7648460,Charter,9.0
IKA,Tehran,Imam_Khomeini,TBS,Tbilisi,Tbilisi,879,148.0,1402-05-18,16:00,18:28,Zagros,ZO-3085,Y,5279863,Charter,5.0
IKA,Tehran,Imam_Khomeini,TBS,Tbilisi,Tbilisi,879,139.0,1402-05-18,16:00,18:19,Zagros,ZO-3085,Y,5500000,Charter,5.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,131.0,1402-05-18,16:15,17:00,Varesh,VRH-6817,Y,3853000,Charter,9.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,127.0,1402-05-18,16:15,18:00,Varesh,VRH-6817,Y,4054200,Charter,8.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,142.0,1402-05-18,16:15,18:37,Varesh,VRH-6817,Y,3839900,Charter,7.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,134.0,1402-05-18,16:15,18:29,Varesh,VRH-6817,Y,3876000,Charter,7.0
IKA,Tehran,Imam_Khomeini,EVN,Yerevan,Zvartnots,792,129.0,1402-05-18,16:15,18:24,Varesh,VRH-6817,Y,4000000,Charter,8.0
GBT,Gorgan,Gorgan,THR,Tehran,Mehrabad,309,113.0,1402-05-18,16:30,17:30,Kish,Y9-7018,RS,1073626,Unknown,5.0
