national_departure_code,departure_city,departure_airport,national_arrival_code,arrival_city,arrival_airport,orthodromic_distance_KM,flight_length_min,departure_date_YMD_format,local_departure_time,local_arrival_time,company_name,flight_number,flight_sale_type,flight_capacity,fare_class_code,ticket_price_T
THR,Tehran,Mehrabad,ZAH,Zahedan,Zahedan,1133,164.0,1402-05-17,22:00,23:55,Mahan,W5-1071,Scheduled,2,Y,1681000
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,146.0,1402-05-18,05:00,06:30,Varesh,VRH-6813,Charter,2,Y,2947600
IKA,Tehran,Imam_Khomeini,NJF,Al_Najaf,Al_Ashraf,731,124.0,1402-05-18,05:00,07:04,Varesh,VRH-6813,Charter,2,Y,2783928
IKA,Tehran,Imam_Khomeini,IST,Istanbul,Istanbul,2053,208.0,1402-05-18,05:00,08:28,ATA,I3-6619,Charter,3,Y,8500000
MHD,Mashhad,Shahid_Hashemi_Nejad,BGW,Baghdad,Baghdad,1445,182.0,1402-05-18,05:00,08:02,Taban,TBN-7289,Charter,7,Y,2879925
MHD,Mashhad,Shahid_Hashemi_Nejad,BGW,Baghdad,Baghdad,1445,189.0,1402-05-18,05:00,08:09,Taban,TBN-7289,Charter,7,Y,3000000
MHD,Mashhad,Shahid_Hashemi_Nejad,NJF,Al_Najaf,Al_Ashraf,1478,183.0,1402-05-18,05:00,08:03,ATA,I3-6641,Charter,7,Y,4100000
IKA,Tehran,Imam_Khomeini,IST,Istanbul,Istanbul,2053,208.0,1402-05-18,06:00,09:25,Mahan,W5-112,Scheduled,5,C,22659600
MHD,Mashhad,Shahid_Hashemi_Nejad,NJF,Al_Najaf,Al_Ashraf,1478,180.0,1402-05-18,06:00,09:00,Taban,TBN-7263,Charter,5,C,5000000
MHD,Mashhad,Shahid_Hashemi_Nejad,NJF,Al_Najaf,Al_Ashraf,1478,171.0,1402-05-18,06:30,09:21,ATA,I3-6647,Charter,8,Y,3233600
KIH,Kish_Island,Kish,SYZ,Shiraz,Shahid_Dastghaib,362,98.0,1402-05-18,07:00,07:45,Kish,Y9-7078,Charter,6,RP,993550
KIH,Kish_Island,Kish,SYZ,Shiraz,Shahid_Dastghaib,362,104.0,1402-05-18,07:00,07:45,Kish,Y9-7078,Scheduled,9,RF,962770
KIH,Kish_Island,Kish,SYZ,Shiraz,Shahid_Dastghaib,362,102.0,1402-05-18,07:00,07:45,Kish,Y9-7078,Charter,5,RS,932880
KIH,Kish_Island,Kish,SYZ,Shiraz,Shahid_Dastghaib,362,102.0,1402-05-18,07:00,07:45,Kish,Y9-7078,Scheduled,5,RY,905046
KIH,Kish_Island,Kish,SYZ,Shiraz,Shahid_Dastghaib,362,107.0,1402-05-18,07:00,07:45,Kish,Y9-7078,Charter,2,RB,879070
KIH,Kish_Island,Kish,SYZ,Shiraz,Shahid_Dastghaib,362,104.0,1402-05-18,07:00,08:44,Kish,Y9-7078,Charter,2,RB,876400
KIH,Kish_Island,Kish,SYZ,Shiraz,Shahid_Dastghaib,362,108.0,1402-05-18,07:00,08:48,Kish,Y9-7078,Charter,5,RY,902700
KIH,Kish_Island,Kish,SYZ,Shiraz,Shahid_Dastghaib,362,113.0,1402-05-18,07:00,08:53,Kish,Y9-7078,Charter,5,RS,930900
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,165.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,Scheduled,3,J,13828900
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,167.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,Charter,3,J,13385540
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,160.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,Scheduled,2,C,11921400
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,171.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,Charter,2,C,11543340
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,165.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,Scheduled,5,Y,9516700
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,165.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,Charter,5,Y,9221030
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,164.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,Scheduled,5,B,8644700
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,154.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,Charter,5,B,8378910
IKA,Tehran,Imam_Khomeini,DXB,Dubai,Dubai,1200,161.0,1402-05-18,07:15,09:45,Qeshm,QB-2210,Scheduled,5,H,7125400
