arrival_city_name_persian,national_arrival_code,departure_city_name_persian,national_departure_code,departure_date,departure_date_YMD_format,departure_time,arrival_time,capacity,company_name,flying_class,flying_number,flying_type,ticket_price_T
زاهدان,ZAH,تهران,THR,سه‌شنبه 17 مرداد,1402/05/17,22:00,23:55,,Mahan,BAE-87Y_D,1071,با ضمانت-سیستمی,"1,681,000"
نجف,NJF,تهران (امام خمینی),IKA,چهارشنبه 18 مرداد,1402/05/18,05:00,06:30,2.0,Varesh,Y,6813,با ضمانت-چارتری,"2,947,600"
نجف,NJF,تهران (امام خمینی),IKA,چهارشنبه 18 مرداد,1402/05/18,05:00,,2.0,Varesh,Y,6813,چارتری,"2,783,928"
استانبول,IST,تهران (امام خمینی),IKA,چهارشنبه 18 مرداد,1402/05/18,05:00,,3.0,ATA,ایرباس 320Y,6619,چارتری,"8,500,000"
بغداد,BGW,مشهد,MHD,چهارشنبه 18 مرداد,1402/05/18,05:00,,7.0,Taban,Y,7289,چارتری,"2,879,925"
بغداد,BGW,مشهد,MHD,چهارشنبه 18 مرداد,1402/05/18,05:00,,7.0,Taban,M80Y,7289,چارتری,"3,000,000"
نجف,NJF,مشهد,MHD,چهارشنبه 18 مرداد,1402/05/18,05:00,,7.0,ATA,M80Y,6641,چارتری,"4,100,000"
استانبول,IST,تهران (امام خمینی),IKA,چهارشنبه 18 مرداد,1402/05/18,06:00,09:25,,Mahan,AB346-MMRC_D,112,با ضمانت-سیستمی بیزنس,"22,659,600"
نجف,NJF,مشهد,MHD,چهارشنبه 18 مرداد,1402/05/18,06:00,,5.0,Taban,320C,7263,بیزنس-چارتری,"5,000,000"
نجف,NJF,مشهد,MHD,چهارشنبه 18 مرداد,1402/05/18,06:30,,8.0,ATA,Y,6647,چارتری,"3,233,600"
شیراز,SYZ,کیش,KIH,چهارشنبه 18 مرداد,1402/05/18,07:00,07:45,6.0,Kish,MD8RP,7078,با ضمانت,"993,550"
شیراز,SYZ,کیش,KIH,چهارشنبه 18 مرداد,1402/05/18,07:00,07:45,9.0,Kish,MD8RF,7078,با ضمانت,"962,770"
شیراز,SYZ,کیش,KIH,چهارشنبه 18 مرداد,1402/05/18,07:00,07:45,5.0,Kish,MD8RS,7078,با ضمانت,"932,880"
شیراز,SYZ,کیش,KIH,چهارشنبه 18 مرداد,1402/05/18,07:00,07:45,5.0,Kish,MD8RY,7078,با ضمانت,"905,046"
شیراز,SYZ,کیش,KIH,چهارشنبه 18 مرداد,1402/05/18,07:00,07:45,2.0,Kish,MD8RB,7078,با ضمانت,"879,070"
بغداد,BGW,مشهد,MHD,چهارشنبه 18 مرداد,1402/05/18,07:00,,7.0,j1,321W,4815,چارتری,"4,000,000"
شیراز,SYZ,کیش,KIH,چهارشنبه 18 مرداد,1402/05/18,07:00,,2.0,Kish,MD8RB,7078,,"876,400"
شیراز,SYZ,کیش,KIH,چهارشنبه 18 مرداد,1402/05/18,07:00,,5.0,Kish,RY,7078,,"902,700"
شیراز,SYZ,کیش,KIH,چهارشنبه 18 مرداد,1402/05/18,07:00,,5.0,Kish,MD8RS,7078,,"930,900"
دبی,DXB,تهران (امام خمینی),IKA,چهارشنبه 18 مرداد,1402/05/18,07:15,09:45,3.0,Qeshm,DEFJ,2210,با ضمانت-سیستمی بیزنس,"13,828,900"
دبی,DXB,تهران (امام خمینی),IKA,چهارشنبه 18 مرداد,1402/05/18,07:15,09:45,3.0,Qeshm,DEFJ,2210,با ضمانت-بیزنس-چارتری,"13,385,540"
دبی,DXB,تهران (امام خمینی),IKA,چهارشنبه 18 مرداد,1402/05/18,07:15,09:45,2.0,Qeshm,DEFC,2210,با ضمانت-سیستمی بیزنس,"11,921,400"
دبی,DXB,تهران (امام خمینی),IKA,چهارشنبه 18 مرداد,1402/05/18,07:15,09:45,2.0,Qeshm,DEFC,2210,با ضمانت-بیزنس-چارتری,"11,543,340"
دبی,DXB,تهران (امام خمینی),IKA,چهارشنبه 18 مرداد,1402/05/18,07:15,09:45,5.0,Qeshm,DEFY,2210,با ضمانت-سیستمی,"9,516,700"
دبی,DXB,تهران (امام خمینی),IKA,چهارشنبه 18 مرداد,1402/05/18,07:15,09:45,5.0,Qeshm,DEFY,2210,با ضمانت-چارتری,"9,221,030"
دبی,DXB,تهران (امام خمینی),IKA,چهارشنبه 18 مرداد,1402/05/18,07:15,09:45,5.0,Qeshm,DEFB,2210,با ضمانت-سیستمی,"8,644,700"
دبی,DXB,تهران (امام خمینی),IKA,چهارشنبه 18 مرداد,1402/05/18,07:15,09:45,5.0,Qeshm,DEFB,2210,با ضمانت-چارتری,"8,378,910"
دبی,DXB,تهران (امام خمینی),IKA,چهارشنبه 18 مرداد,1402/05/18,07:15,09:45,5.0,Qeshm,DEFH,2210,با ضمانت-سیستمی,"7,125,400"
دبی,DXB,تهران (امام خمینی),IKA,چهارشنبه 18 مرداد,1402/05/18,07:15,09:45,5.0,Qeshm,DEFH,2210,با ضمانت-چارتری,"6,911,580"
دبی,DXB,تهران (امام خمینی),IKA,چهارشنبه 18 مرداد,1402/05/18,07:15,09:45,9.0,Qeshm,DEFK,2210,با ضمانت-سیستمی,"6,416,900"
