arrival_time,capacity,company_name,date,destination,flying_class,flying_number,flying_type,source,ticket_price
05:55,موجود,Mahan,سه شنبه 04 مهر,MHD,310-EQV-DOMY_D,1081,با ضمانت-سیستمی,THR,"1,314,800"
06:45,موجود,Iranair,پنج شنبه 30 شهریور,IFN,A320-200Y,252,با ضمانت-سیستمی,THR,"973,500"
10:25,موجود,Iranair,پنج شنبه 30 شهریور,IFN,A319-100Y,222,با ضمانت-سیستمی,THR,"973,500"
20:20,موجود,Iranair,پنج شنبه 30 شهریور,IFN,ATR72-600Y,3348,با ضمانت-سیستمی,THR,"973,500"
06:45,موجود,Iranair,پنج شنبه 30 شهریور,IFN,A320-200J,252,با ضمانت-سیستمی بیزنس,THR,"1,552,000"
10:25,موجود,Iranair,پنج شنبه 30 شهریور,IFN,A319-100J,222,با ضمانت-سیستمی بیزنس,THR,"1,552,000"
09:40,موجود,Iranair,جمعه 31 شهریور,KIH,A319-100Y,350,با ضمانت-سیستمی,THR,"1,753,500"
09:40,موجود,Iranair,جمعه 31 شهریور,KIH,A319-100J,350,با ضمانت-سیستمی بیزنس,THR,"2,799,500"
09:50,موجود,Iranair,دوشنبه 03 مهر,AWZ,A319-100Y,413,با ضمانت-سیستمی,THR,"1,207,000"
09:50,موجود,Iranair,دوشنبه 03 مهر,AWZ,A319-100J,413,با ضمانت-سیستمی بیزنس,THR,"1,925,000"
15:20,موجود,Iranair,دوشنبه 03 مهر,SYZ,A319-100Y,426,با ضمانت-سیستمی,THR,"1,325,500"
15:20,موجود,Iranair,دوشنبه 03 مهر,SYZ,A319-100J,426,با ضمانت-سیستمی بیزنس,THR,"2,115,500"
16:05,موجود,Iranair,شنبه 01 مهر,SYZ,A319-100Y,426,با ضمانت-سیستمی,THR,"1,325,500"
16:05,موجود,Iranair,شنبه 01 مهر,SYZ,A319-100J,426,با ضمانت-سیستمی بیزنس,THR,"2,115,500"
15:15,موجود,Iranair,جمعه 31 شهریور,SYZ,A319-100Y,426,با ضمانت-سیستمی,THR,"1,325,500"
09:00,موجود,Mahan,جمعه 31 شهریور,SYZ,BAEEY_D,1089,با ضمانت-سیستمی,THR,"1,326,100"
09:00,9,Mahan,جمعه 31 شهریور,SYZ,BAE-146B,1089,,THR,"1,326,100"
09:00,9,Mahan,جمعه 31 شهریور,SYZ,B,1089,,THR,"1,326,100"
15:15,8,Iranair,جمعه 31 شهریور,SYZ,A319-100J,426,با ضمانت-سیستمی بیزنس,THR,"2,115,500"
